"","V1","V2","V3"
"341","Coalition for Prime Minister","2016","81043"
"342","Our Own Right","2015","81091"
"343","Green Alliance of Croatia","1990","81111"
"344","League of Communists of Croatia - Party of Democratic Changes","1992","81220"
"345","Socialist Party of Croatia","1990","81221"
"346","Union of Socialist Youth of Croatia","1990","81222"
"347","Social Democratic Party of Croatia","2001","81223"
"348","League of Communists of Croatia - Party of Democratic Changes and Socialist Party of Croatia","1990","81229"
"349","Croatian Labourists - Labour Party","2011","81230"
"350","Independent List of Ivan Grubišic","2011","81440"
"351","Croatian People’s Party","1999","81712"
"352","Independent Democratic Serbian Party","2007","81910"
"353","Istrian Democratic Assembly","1999","81953"
"354","Dalmatian Action","1992","81954"
"355","Croatian Party of Pensioners","2003","81957"
"356","Coalititon of Dalmatian Action, Istrian Democratic Assembly and Democratic Alliance of Rijeka","1992","81959"
"357","Human Shield","2015","81960"
"358","Green Party","2009","82110"
"359","Communist Party of Czechoslovakia","2004","82220"
"360","Czechoslovak Social Democratic Party","2004","82320"
"361","ANO 2011","2015","82430"
"362","Christian and Democratic Union - Czech People's Party","2004","82523"
"363","Tradition, Responsibility, Prosperity 09","2013","82530"
"364","Mayors and Independents","2017","82610"
"365","Freedom and Direct Democracy","2017","82721"
"366","Public Affairs","2010","82952"
"367","Czech Pirate Party","2017","82953"
"368","Estonian Greens","2009","83110"
"369","Estonian Social Democratic Party","1992","83320"
"370","People’s Party Moderates","2003","83410"
"371","Estonian Center Party","2005","83411"
"372","Electoral Union ‘Popular Front'","1992","83421"
"373","Free Party","2015","83440"
"374","Estonian People’s Union","2007","83612"
"375","Estonian Rural People’s Party","1999","83810"
"376","Electoral Union ‘Our Home is Estonia'","1995","83951"
"377","Estonian United People’s Party","1999","83952"
"378","Bidzina Ivanishvili - Georgian Dream","2012","84042"
"379","Socialist Party of Georgia","1997","84223"
"380","Georgian Social Justice Union","1992","84322"
"381","Democratic Party","1992","84423"
"382","Georgian Labour Party","2005","84429"
"383","Election Bloc ‘For a New Georgia’","2003","84432"
"384","Georgian Dream - Democratic Georgia","2016","84450"
"385","Christian-Democratic Movement","2008","84530"
"386","Popular Front","1990","84720"
"387","Democratic Georgia","1990","84952"
"388","Green Party-Independent Women's League","1990","85111"
"389","Alliance 90","1990","85112"
"390","United Left Action Alliance","1990","85210"
"391","Party for Democratic Socialism","1990","85221"
"392","Social Democratic Party of Germany","1990","85320"
"393","Free Democratic Party","1990","85421"
"394","Liberal Democratic Party","1990","85422"
"395","German Forum Party","1990","85423"
"396","National Democratic Party of Germany","1990","85424"
"397","Alliance of Free Democrats","1990","85429"
"398","Christian Democratic Union","1990","85521"
"399","Democratic Opening","1990","85523"
"400","Democratic Peasants’ Party of Germany","1990","85524"
"401","Democratic Women’s League","1990","85901"
"402","Politics Can Be Different","2012","86110"
"403","Hungarian Socialist Party","2002","86220"
"404","Democratic Coalition","2014","86221"
"405","Hungarian Social Democratic Party","2000","86320"
"406","Together 2014 -Dialogue for Hungary Electoral Alliance","2014","86340"
"407","Unity","2011","87062"
"408","Greens' and Farmers’ Union","2008","87110"
"409","Latvian Socialist Party","1995","87310"
"410","Latvian Social Democratic Alliance","1998","87311"
"411","Latvian Unity Party","1995","87320"
