"","V1","V2","V3"
"337","Social Democartic Party Harmony","2014","87340"
"338","Latvian Way Union","1997","87410"
"339","Latvian Liberal Party","1993","87420"
"340","Democratic Centre Party","1993","87430"
"341","New Party","1998","87431"
"342","Christian Democratic Union","1993","87520"
"343","Latvia’s First Party","2002","87521"
"344","People’s Party","2002","87610"
"345","Coalition Latvian National Conservative Party and Latvian Green Party","1995","87611"
"346","For Latvia from the Heart","2014","87630"
"347","Latvian National Independence Movement","1993","87710"
"348","For Fatherland and Freedom","1994","87721"
"349","Popular Movement for Latvia-Zigerista Party","1995","87722"
"350","For Fatherland and Freedom - Latvian National Independence Movement","2002","87723"
"351","Latvian Farmers’ Union","1993","87810"
"352","Coalition of Latvian Farmers' Union, Latvian Christian Democratic Union and Democratic Party of Latgale","1995","87811"
"353","Latvian Association of Regions","2014","87901"
"354","Equal Rights","1993","87951"
"355","Lithuanian Democratic Labour Party","1994","88220"
"356","Sajudis Coalition","1992","88421"
"357","Lithuanian Liberal Union","2000","88422"
"358","Liberal and Centre Union","2006","88430"
"359","Liberal Movement","2010","88450"
"360","Order and Justice","2010","88460"
"361","Lithuanian Christian Democratic Party","1996","88521"
"362","Lithuanian Democratic Party","1994","88522"
"363","Lithuanian Union of Political Prisoners and Deportees","1992","88523"
"364","Lithuanian Christian Democratic Party Coalition","1992","88529"
"365","Homeland Union","2000","88620"
"366","Homeland Union - Lithuanian Christian Democrats","2010","88621"
"367","National Resurrection Party","2008","88630"
"368","Lithuanian National Union","1992","88710"
"369","Lithuanian Polish Union","2001","88951"
"370","Liberal Democratic Party","2004","89224"
"371","Democratic Alternative","1998","89321"
"372","Party of Yugoslavs in Macedonia","1990","89420"
"373","People’s Democratic Party","1994","89952"
"374","Party for the Complete Emancipation of the Roma","1990","89953"
"375","Joint Candidates of Party for Democratic Prosperity in Macedonia/People’s Democratic Party","1990","89959"
"376","Electoral Bloc of the Socialist Party and the Movement ‘Unity'","1994","90220"
"377","Party of Communists of the Republic of Moldova","2006","90221"
"378","Our Moldova Alliance","2009","90321"
"379","Liberal Democratic Party of Moldova","2011","90430"
"380","Liberal Party","2011","90620"
"381","Electoral Block ‘Braghis Alliance'","2001","90952"
"382","United Reform Action","2016","91322"
"383","Positive Montenegro","2012","91330"
"384","Liberal Alliance of Montenegro","1996","91420"
"385","Liberal Party of Montenegro","2006","91421"
"386","Democratic Alliance","2016","91610"
"387","People’s Party","1996","91710"
"388","Serbian Radical Party","1992","91711"
"389","Serbian People's Party","2002","91712"
"390","New Serbian Democracy","2009","91910"
"391","Serb list","2006","91930"
"392","Party of National Equality","1990","91951"
"393","Democratic League in Montenegro","1990","91952"
"394","Democratic Action Party of Montenegro","1996","91953"
"395","Democratic Coalition","1990","91959"
"396","Labour Solidarity","1991","92321"
"397","Democratic Union","1992","92410"
"398","Liberal-Democratic Congress","1991","92420"
"399","Polish Beer-Lovers' Party","1991","92431"
"400","Union of Real Politics","1991","92432"
"401","Polish Economic Program (Large Beer)","1991","92433"
"402","Law and Justice","2006","92436"
"403","Palikot's Movement","2011","92440"
"404","Christian Democratic Labour Party","1991","92520"
"405","Party of Christian Democrats","1991","92522"
"406","Movement for the Republic","1991","92523"
"407","Catholic Electoral Action","1991","92530"
"408","Electoral Action ‘Solidarity'","1997","92620"
"409","Movement for the Reconstruction of Poland","1997","92621"
"410","Confederation for an Independent Poland","1992","92710"
"411","Polish Western Union","1991","92711"
"412","League of Polish Families","2003","92713"
"413","Peasant Accord","1991","92810"
"414","Polish Peasants' Party","2000","92811"
"415","Non-Party Bloc in Support of Reforms","1993","92901"
"416","Social Liberal Union","2012","93031"
"417","Justice and Truth Alliance","2004","93041"
"418","National Salvation Front","1994","93221"
"419","Alliance of Liberals and Democrats","2016","93420"
"420","National Liberal Party","2003","93430"
"421","National Democratic Party","1990","93523"
"422","Romanian Democratic Front from Timisoara","1990","93524"
"423","Democratic Group of the Centre","1990","93529"
"424","Democratic Liberal Party","2008","93530"
"425","Romanian National Unity Party","1992","93711"
"426","Greater Romania Party","1998","93712"
"427","Republican Party","1990","93714"
"428","Romanian Unity Alliance","1990","93719"
"429","Communist Party ot the Russian Federation","2001","94221"
"430","Women of Russia","1994","94223"
"431","Dignity and Charity","1993","94224"
"432","Power to the People!","1995","94225"
"433","Russian Movement for Democratic Reform","1993","94320"
"434","Russia’s Democratic Choice","1994","94421"
"435","Yavlinsky-Boldyrev-Lukin Bloc","1997","94422"
"436","Party of Russian Unity and Accord","1993","94423"
"437","Our Home - Russia","1997","94424"
"438","Forward, Russia!","1995","94425"
"439","Pamfilova - Gurov - V. Lysenko Bloc (Republican Party of Russia)","1995","94426"
"440","Inter-Regional Movement ‘Unity'","1999","94620"
"441","Union of Right Forces","2001","94621"
"442","Fatherland - All Russia","1999","94622"
"443","Liberal Democratic Party of Russia","2001","94711"
"444","Democratic Party of Russia","1993","94712"
"445","Congress of Russian Communities","1995","94713"
"446","Socialist Party of Serbia/Party of United Pensioners of Serbia/United Serbia","2014","95021"
"447","For a European Serbia Alliance","2008","95040"
"448","New Democratic Party-Greens/League of Social Democrats of Vojvodina/Together for Serbia/Democartic Fellowship of Vojvodina Hungarians/Together for Vojvodina/Democratic Left of Roma","2014","95045"
"449","Serbian Renewal Movement/New Serbia","2003","95060"
"450","Democratic Party of Serbia/New Serbia","2007","95065"
"451","Socialist Party of Serbia","1996","95221"
"452","Alliance of Reform Forces of Yugoslavia for Vojvodina","1991","95222"
"453","Yugoslav Left","1997","95223"
"454","Democratic Movement of Serbia","1992","95420"
"455","New Democracy","1994","95422"
"456","Democratic Opposition of Serbia","2000","95423"
"457","Democratic Party","1999","95430"
"458","Liberal Democratic Party","2007","95431"
"459","United Regions of Serbia – Mladan Dinkic","2012","95451"
"460","Serbian Renewal Movement","1993","95710"
"461","Serbian Radical Party","2001","95711"
"462","Democratic Party of Serbia","2005","95712"
"463","Peasants Party of Serbia","1991","95810"
"464","Alliance of Vojvodina Hungarians – István Pásztor","2014","95902"
"465","Party of Democratic Action","2003","95952"
"466","Democratic Union of Slovakia","1994","96421"
"467","Alliance of the New Citizen","2002","96424"
"468","Alliance of Democrats of the Slovak Republic","1992","96431"
"469","Freedom and Solidarity","2012","96440"
"470","Christian Democratic Movement","2002","96521"
"471","Slovak Democratic Coalition","1998","96522"
"472","Slovak Democratic and Christian Union","2007","96523"
"473","Civic Conservative Party","2010","96610"
"474","Ordinary People and Independent Personalities","2014","96620"
"475","Slovak National Party","2002","96710"
"476","Movement for a Democratic Slovakia","2000","96711"
"477","Kotleba – People's Party Our Slovakia","2016","96720"
"478","We Are Family","2016","96725"
"479","Hungarian Civic Party","1994","96954"
"480","Bridge","2012","96955"
"481","League of Communists of Slovenia","1990","97220"
"482","Unity, Asssociated List","1992","97223"
"483","Zoran Jankovic's List - Positive Slovenia","2011","97340"
"484","Liberal Democratic Party","2000","97421"
"485","Slovenian People's Party","2000","97521"
"486","Slovenian National Party","2001","97710"
"487","Slovenian Peasant League","1990","97810"
"488","Party of Slovenian Youth","2000","97952"
"489","Interregional Reform Bloc","1994","98421"
"490","Party of Democratic Rebirth of Ukraine","1994","98422"
"491","Social Democratic Party of Ukraine (United)","2000","98427"
"492","Forward, Ukraine!","1998","98428"
"493","Christian Democratic Party of Ukraine","1996","98521"
"494","Popular Movement of Ukraine","1996","98611"
"495","Ukrainian Republican Party","1994","98612"
"496","Democratic Party of Ukraine","1994","98613"
"497","Electoral Bloc ‘National Front'","1998","98614"
"498","Viktor Yushchenko Bloc ‘Our Ukraine'","2005","98615"
"499","Juliya Tymoshenko Election Bloc","2005","98616"
"500","Congress of Ukrainian Nationalists","1994","98711"
"501","Ukrainian Conservative Republican Party","1994","98712"
"502","Ukrainian National Assembly","1994","98713"
"503","Peasant Party of Ukraine","1994","98810"
"504","Party of Economic Revival of Crimea","1994","98951"
"505","Party of Regions","2006","98952"
"506","Authentic Party of the Mexican Revolution","1982","171303"
"507","Social Encounter Party","2015","171611"
"508","Democratic Party","1996","181410"
"509","Inkatha Freedom Party","2006","181910"
