"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112"
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604,0.159,0,5.484,0,0.159,2.241,0.5085,0,0,2.0825,5.723,3.1315,0.3495,0.175,0,5.182,2.273,2.401,1.415,2.019,2.305,0,0,0,0.175,0,0.175,4.816,8.6785,0.175,0.0795,2.6865,0,0,6.215,5.42,0.604,12.1445,0,7.328,0,5.023,0,0.2385,0,2.4165,2.591,0,0,0.159,0,2.5435,0.159,1.8125,0.3495
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.604,0,0,2.703,0,2.703,0.901,0,0,0,0,3.604,0.901,0,0.901,0,1.802,1.802,2.703,2.703,8.108,7.207,0.901,0.901,0.901,1.802,1.802,0,2.703,5.405,0.901,0,1.802,0,0,0.901,1.802,0.901,6.306,0,1.802,0,1.802,0,2.703,0,0.901,0,0,0,1.802,0,5.405,0.901,2.703,4.505
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8575,0.302,0.201,2.1125,0,4.4075,6.5615,1.9525,0,0,8.3725,12.62,3.16,0,1.308,0,1.4085,2.314,0.4025,2.2545,2.2135,0.9055,0.704,0,0.6035,0,0.201,0,1.6095,3.521,4.024,0,2.4145,0,0,2.2135,2.556,3.5625,1.6095,0,1.6095,0,8.9165,0,2.053,0,2.314,0,0.302,0,0.503,0,2.4145,0.503,0.1005,1.1065
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.174,0,2.174,2.174,0,0,6.522,0,0,0,0,0,0,0,4.348,0,0,0,0,0,0,0,0,6.522,2.174,0,0,0,0,0,0,0,2.174,2.174,0,4.348,0,0,4.348,4.348,0,0,8.696,0,0,2.174,0,0,2.174,0,10.87
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.399,0,1.0045,3.3915,0.7575,0.7575,0,2.688,1.12,2.39,0,4.1355,0,1.2835,2.5835,7.4925,1.104,1.4665,3.064,1.2195,0.1155,0.5265,2.7335,0.231,1.6485,1.845,2.8005,1.12,0.478,0.3785,0,0.924,0.924,6.394,3.9015,8.432,0,3.6545,0,0.3465,0,0.231,0,4.2135,1.7295,0.889,0.924,2.5535,0,3.6925,0,0.741,3.972
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.262,0,0,0,1.262,0,0.315,1.893,0,0,6.309,7.571,0,0.946,18.927,0,0.631,3.785,3.155,3.155,1.262,0.315,0,0,0,0,7.571,0,0.315,2.524,0,0,0.946,0,0,8.202,2.524,3.785,3.785,0,2.208,0,0.315,0.631,0.946,0.631,0.946,0.631,0,0,2.208,0,4.732,0.631,0,0.946
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421,0,0,0,1.406,0.741,1.545,1.7,0,0,5.307,6.14,0,0.315,15.806,0,0.951,1.262,1.792,3.148,1.654,1.132,0,0,0,0.164,7.415,0,0.105,2.445,0,0,0.315,0,0,7.874,4.293,4.962,2.617,0,2.256,0,0.476,0.539,2.041,0.21,0.48,1.65,5.751,0,0.736,0,3.425,0.539,0,2.206
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.474,0,0,1.779,1.423,0,1.661,1.542,0,0.237,2.372,5.813,0,0.593,1.068,0,6.643,6.287,0,2.372,0.712,3.677,0,0,1.779,0,17.319,0.119,0.119,4.389,0,0,1.186,0,0.119,5.219,2.491,1.186,4.864,2.372,1.779,0,0,0,1.423,0.237,9.846,0,0,0,0.237,0,2.372,0.356,0,1.068
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.764,0,0,0,0.347,0,0,0,0,0.694,0,0,1.389,0,0,9.028,0,2.778,17.014,0,7.986,0,2.431,0,5.556,0,2.431,3.125,0,0,0,0,6.944,0,0,19.792
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.287,3.185,7.643,0,1.274,1.911,0.637,0.637,0,3.185,13.376,0,0,0,0,0,0,0.637,5.732,0,2.548,0,0,6.369,0,6.369,0,0,0,0,1.911,0,0,0,0,0,0.637,0,0,0,0,8.28,0,0,0,3.822,1.274,0,0,0.637,0,12.739,0,0,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1.8,1.8,0,1.8,0,0,6.3,7.2,1.8,0,2.7,0,1.8,0.9,0,6.3,0.9,0.9,0.9,0,0,0.9,0,0,0,0.9,0,1.8,0,0,0,6.3,8.1,2.7,3.6,0,4.5,0,1.8,0,1.8,0,4.5,0.9,0,0,3.6,0,5.4,1.8,3.6,3.6
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607,0,0,2.245,2.002,0.061,0.061,4.733,4.187,0,0.667,1.638,0.061,2.791,3.034,2.549,0.85,7.767,2.184,0.789,0.303,0,0,0.789,0.364,4.551,2.731,0.061,0,2.731,0,0.182,2.124,1.699,11.226,8.01,0.91,6.432,0.364,2.913,0.182,0,0.546,2.427,4.369,0.243,0,5.34,0.061,1.214,2.67,0.303,0.243
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606,2.90066666666667,0,0,2.323,2.66933333333333,0,0,0,5.01466666666667,0,0,0,0,2.27266666666667,3.492,5.31033333333333,0,5.967,1.638,0.606,0,0,0,0.555666666666667,0.476333333333333,9.06233333333333,3.40566666666667,0,0,2.19333333333333,0,0,1.111,5.44733333333333,4.358,9.964,0,8.56433333333333,0,6.89766666666667,0,1.76766666666667,0,2.51066666666667,3.70133333333333,0,0,1.58733333333333,0,2.06333333333333,0,0,3.53533333333333
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3226,0,0,3.2904,0,0.3226,1.9778,0.7986,0.3334,0,0,0.6666,0,0,3.6344,0,3.856,0.6666,0.4652,0.4652,5.2198,1.1524,0,0,0.9678,0,0.6666,0.3226,3.2108,3.0888,0,0.2222,0.2222,0,1.111,9.7306,3.5916,2.9188,10.6724,0,10.7628,0,10.6142,0,1.423,0,3.7242,1.951,0.3226,0,1.2008,0,5.7234,0.8674,0,2.4052
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503333333333333,0,0,1.48766666666667,0,0,0.910666666666667,1.00033333333333,0,0,2.57366666666667,3.67833333333333,0.0503333333333333,0,4.37966666666667,0,3.50266666666667,1.783,0.670333333333333,1.926,3.38233333333333,6.05433333333333,0.469333333333333,0.458666666666667,0.14,0.290333333333333,3.313,0.0503333333333333,2.226,5.90466666666667,0.451666666666667,0.150666666666667,5.86833333333333,0,0,5.167,3.784,1.73566666666667,5.06033333333333,0.0896666666666667,4.49,0,2.36533333333333,0,0.698333333333333,0.248666666666667,3.443,1.20733333333333,0.480666666666667,0,2.723,0,4.94233333333333,0.100333333333333,0.499666666666667,4.50933333333333
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,0.305,9.0445,1.748,0.9145,0,5.742,5.5185,0,0,0.9145,0,0.61,0,1.0265,11.128,0,0,0,0,0,0,3.0795,0,7.3275,3.608,0.4165,0,8.689,0,0,1.0265,0.4165,0.7215,11.4435,1.25,0.4165,0,0,0.305,0,0,0.305,0.9145,0.9145,0,1.748,0,3.3535,0,0,0.305
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.626,0.113,0,0.288,0.384,0.44,4.9,1.146,0.914,0,6.135,6.67,0.113,0,1.941,0.35,0.937,0,1.576,3.771,0.226,0.35,0,0,0,0.056,5.107,0,5.064,5.354,0,0,3.295,0,0,1.044,1.258,0.784,4.804,0,2.037,0,2.761,2.017,1.864,0,0.152,1.558,10.991,0,1.681,0,3.696,0.451,0,4.796
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.138,0,0,3.81142857142857,0.107428571428571,0.382571428571429,0.730857142857143,1.81142857142857,2.45057142857143,0,1.66014285714286,3.55571428571429,0.0244285714285714,0,0.709142857142857,0,4.65,0.829571428571429,1.73128571428571,1.00685714285714,4.00342857142857,1.36457142857143,0.613571428571429,0.120857142857143,0.314571428571429,0.043,6.33271428571429,0.00285714285714286,1.84557142857143,11.6477142857143,0.0472857142857143,0,0.955,0,0,4.001,4.78042857142857,0.764142857142857,7.599,0,5.48585714285714,0,6.79085714285714,0.0125714285714286,0.44,0.075,1.84942857142857,0.234285714285714,0.237142857142857,0,2.48314285714286,0,5.43885714285714,0.075,0.483714285714286,1.90814285714286
